Prix,Surface,Arrondissement,Pieces,DPE
2800.0,70.0,17.0,4,4.0
3800.0,77.0,6.0,3,4.0
1219.0,27.0,4.0,1,3.0
950.0,22.0,18.0,1,
575.0,53.0,11.0,3,2.0
1641.0,53.0,14.0,2,3.0
2310.0,66.0,15.0,3,4.0
1000.0,20.0,19.0,1,3.0
2400.0,70.0,11.0,3,4.0
980.0,24.0,18.0,2,6.0
900.0,15.0,6.0,1,
1250.0,27.0,11.0,2,3.0
2900.0,124.0,16.0,4,3.0
1120.0,22.0,12.0,1,4.0
735.0,62.0,13.0,3,7.0
2300.0,60.0,7.0,2,4.0
1470.0,37.0,10.0,3,3.0
3700.0,102.0,9.0,4,4.0
1450.0,26.0,7.0,1,4.0
6500.0,145.0,15.0,8,4.0
1560.0,42.0,19.0,2,3.0
1550.0,25.0,16.0,1,2.0
1200.0,33.0,14.0,1,4.0
1780.0,43.0,15.0,3,6.0
3500.0,49.0,3.0,2,5.0
950.0,32.0,20.0,2,3.0
1100.0,22.0,15.0,1,3.0
1499.0,41.0,15.0,2,4.0
2300.0,53.0,15.0,2,3.0
1645.0,42.0,15.0,2,4.0
1397.0,30.0,16.0,2,4.0
807.0,20.0,15.0,1,2.0
1380.0,52.0,19.0,2,2.0
1527.0,49.0,15.0,2,3.0
1850.0,45.0,18.0,2,3.0
1456.0,51.0,10.0,2,4.0
2895.0,115.0,16.0,4,4.0
1760.0,40.0,10.0,2,3.0
1450.0,45.0,19.0,2,4.0
700.0,25.0,19.0,1,
2250.0,56.0,15.0,2,4.0
860.0,22.0,18.0,1,3.0
1530.0,26.0,14.0,1,3.0
1050.0,27.0,17.0,1,4.0
2106.0,55.0,18.0,3,5.0
3500.0,74.0,5.0,4,5.0
2074.0,62.0,15.0,3,3.0
1491.0,51.0,11.0,2,5.0
2600.0,54.0,8.0,2,3.0
1130.0,27.0,9.0,2,3.0
2727.0,81.0,14.0,3,3.0
1050.0,16.0,6.0,1,1.0
1446.0,33.0,15.0,1,5.0
1050.0,17.0,6.0,1,1.0
1446.0,33.0,15.0,1,5.0
2724.0,80.0,15.0,4,4.0
930.0,17.0,13.0,1,3.0
1370.0,47.0,19.0,2,5.0
,,12.0,3,
1020.0,30.0,1.0,1,
1195.0,28.0,11.0,1,3.0
1320.0,27.0,15.0,2,5.0
1260.0,32.0,20.0,2,2.0
1650.0,52.0,18.0,3,3.0
1300.0,30.0,20.0,2,4.0
1768.0,53.0,17.0,3,3.0
2420.0,68.0,15.0,4,3.0
1800.0,49.0,12.0,3,4.0
3100.0,83.0,12.0,4,
2140.0,62.0,12.0,3,4.0
1754.0,55.0,18.0,3,3.0
1930.0,60.0,12.0,2,
,35.0,12.0,2,2.0
1790.0,53.0,16.0,2,
2359.0,71.0,17.0,3,3.0
1777.0,47.0,12.0,2,5.0
4500.0,141.0,17.0,4,4.0
1600.0,50.0,18.0,3,
1200.0,41.0,8.0,2,5.0
1131.0,23.0,9.0,1,3.0
2500.0,55.0,16.0,2,3.0
1480.0,40.0,9.0,2,
5400.0,108.0,15.0,5,4.0
1500.0,35.0,17.0,2,4.0
2125.0,67.0,15.0,3,3.0
1743.0,44.0,15.0,2,
430.0,9.0,19.0,1,
1200.0,42.0,12.0,2,
1890.0,90.0,11.0,3,5.0
1600.0,44.0,16.0,2,
850.0,21.0,12.0,1,4.0
2500.0,78.0,16.0,3,5.0
1500.0,50.0,7.0,4,3.0
2437.0,71.0,14.0,3,4.0
2650.0,55.0,4.0,2,
2000.0,40.0,18.0,2,
2250.0,47.0,16.0,2,3.0
850.0,15.0,15.0,1,
700.0,18.0,20.0,1,6.0
2420.0,65.0,15.0,4,
2300.0,66.0,3.0,3,
1600.0,15.0,16.0,1,
450.0,11.0,16.0,1,
700.0,10.0,17.0,1,
665.0,64.0,12.0,4,
800.0,15.0,14.0,4,
850.0,15.0,13.0,1,
400.0,,12.0,1,
890.0,20.0,10.0,1,
1050.0,12.0,8.0,1,
2180.0,58.0,14.0,3,
800.0,13.0,6.0,1,
1000.0,30.0,19.0,2,
1290.0,53.0,20.0,3,2.0
420.0,11.0,9.0,1,7.0
1187.0,30.0,20.0,1,
910.0,14.0,3.0,2,3.0
1240.0,35.0,18.0,1,4.0
750.0,18.0,,1,4.0
1150.0,30.0,16.0,1,4.0
895.0,14.0,4.0,1,4.0
1450.0,39.0,10.0,2,4.0
1431.0,33.0,9.0,2,3.0
780.0,20.0,8.0,1,4.0
1700.0,45.0,11.0,2,4.0
1495.0,50.0,15.0,2,3.0
1690.0,48.0,16.0,3,3.0
550.0,9.0,17.0,1,4.0
1270.0,40.0,15.0,2,4.0
950.0,27.0,18.0,1,3.0
710.0,17.0,11.0,1,3.0
1780.0,54.0,15.0,2,3.0
1400.0,38.0,16.0,2,2.0
2400.0,43.0,4.0,1,4.0
1200.0,38.0,15.0,2,4.0
4830.0,115.0,8.0,4,2.0
2120.0,76.0,15.0,3,4.0
1000.0,19.0,17.0,1,4.0
2200.0,55.0,2.0,3,6.0
1060.0,15.0,5.0,1,3.0
1399.0,36.0,8.0,2,4.0
710.0,11.0,17.0,1,4.0
1560.0,40.0,14.0,2,7.0
560.0,12.0,8.0,1,4.0
3400.0,85.0,15.0,4,4.0
1320.0,40.0,11.0,2,6.0
1720.0,41.0,11.0,2,4.0
1290.0,33.0,17.0,2,3.0
1165.0,29.0,18.0,2,3.0
800.0,34.0,10.0,2,4.0
1600.0,42.0,15.0,2,4.0
1300.0,33.0,20.0,2,4.0
940.0,37.0,18.0,2,4.0
1300.0,40.0,12.0,2,4.0
550.0,10.0,14.0,1,3.0
750.0,16.0,15.0,1,3.0
1160.0,27.0,10.0,2,2.0
495.0,8.0,11.0,1,3.0
860.0,16.0,14.0,1,5.0
1187.0,30.0,20.0,1,7.0
1088.0,36.0,12.0,2,3.0
1972.0,55.0,14.0,3,2.0
1000.0,25.0,18.0,2,4.0
1267.0,68.0,1.0,1,5.0
1350.0,41.0,19.0,2,3.0
850.0,17.0,6.0,1,4.0
850.0,17.0,6.0,1,4.0
1090.0,11.0,17.0,1,3.0
2300.0,64.0,15.0,3,4.0
1830.0,58.0,15.0,3,3.0
850.0,21.0,19.0,1,4.0
968.0,20.0,3.0,1,4.0
1500.0,34.0,9.0,1,4.0
1588.0,32.0,16.0,1,4.0
7500.0,110.0,10.0,5,4.0
7500.0,110.0,10.0,5,4.0
1429.0,30.0,4.0,2,2.0
2056.0,66.0,13.0,3,4.0
922.0,26.0,12.0,1,4.0
968.0,25.0,17.0,1,4.0
750.0,15.0,12.0,1,
1200.0,30.0,19.0,1,
